,0
2064,12374
2065,4183
2066,12376
2067,12379
2068,4189
2069,12381
2070,12385
2071,4194
2072,4196
2073,4203
2074,12399
2075,4213
2076,12408
2077,4217
2078,12411
2079,12419
2080,4236
2081,12432
2082,4242
2083,12439
2084,12440
2085,12446
2086,4262
2087,12462
2088,12473
2089,4282
2090,4284
2091,4290
2092,12482
2093,4293
2094,12487
2095,12496
2096,4305
2097,12502
2098,4311
2099,12504
2100,4314
2101,12506
2102,4317
2103,4320
2104,4321
2105,4322
2106,4323
2107,12516
2108,12518
2109,12523
2110,4332
2111,4336
2112,4344
2113,12536
2114,12542
2115,4353
2116,4355
2117,12547
2118,4360
2119,4362
2120,12554
2121,12557
2122,4366
2123,4367
2124,12563
2125,4375
2126,12569
2127,4378
2128,12573
2129,12575
2130,4384
2131,4387
2132,12579
2133,12581
2134,4392
2135,12585
2136,12589
2137,12597
2138,4406
2139,12608
2140,12614
2141,17161
2142,12616
2143,4423
2144,12618
2145,12620
2146,4428
2147,12624
2148,4433
2149,12626
2150,12630
2151,4440
2152,12637
2153,4447
2154,4448
2155,12642
2156,4450
2157,4453
2158,4456
2159,4461
2160,4464
2161,12656
2162,12658
2163,4466
2164,4468
2165,12663
2166,4477
2167,12670
2168,12671
2169,4478
2170,12673
2171,12675
2172,12677
2173,4485
2174,12685
2175,4494
2176,12692
2177,4502
2178,12695
2179,12697
2180,4508
2181,4512
2182,4513
2183,4519
2184,12713
2185,4522
2186,12715
2187,4523
2188,4525
2189,4528
2190,12722
2191,4534
2192,12727
2193,4536
2194,4541
2195,12734
2196,12735
2197,4545
2198,4546
2199,4553
2200,4554
2201,4555
2202,4561
2203,4562
2204,12755
2205,4564
2206,4565
2207,12759
2208,12761
2209,12762
2210,12763
2211,4573
2212,12765
2213,12767
2214,4579
2215,4581
2216,12775
2217,4585
2218,4587
2219,4591
2220,12786
2221,12788
2222,4598
2223,12792
2224,4604
2225,4605
2226,4606
2227,12800
2228,4608
2229,4612
2230,4613
2231,12806
2232,4616
2233,4618
2234,4620
2235,4621
2236,4622
2237,12816
2238,4627
2239,12821
2240,12822
2241,12824
2242,4634
2243,4637
2244,12830
2245,4640
2246,4641
2247,12841
2248,12843
2249,12844
2250,4653
2251,4652
2252,4655
2253,4657
2254,12850
2255,4662
2256,12859
2257,12863
2258,4675
2259,12872
2260,12875
2261,4683
2262,12877
2263,4685
2264,4690
2265,12882
2266,4695
2267,4697
2268,12897
2269,12899
2270,4710
2271,4715
2272,12909
2273,4720
2274,4724
2275,12916
2276,4726
2277,12918
2278,4737
2279,12932
2280,4740
2281,12934
2282,4743
2283,12939
2284,4748
2285,12940
2286,4749
2287,12943
2288,12946
2289,12947
2290,4756
2291,4754
2292,12950
2293,4763
2294,12960
2295,4769
